ISIN,ISIN Description,,ISIN,ISIN Description
(Select),(Select),,(Select),(Select)
INE950J01019, ADANI KRISHNAPATNAM PORT LIMITED,,IN9479S01018,FAMY LIFE SCIENCES PRIVATE LIMITED
INE950J03015, ADANI KRISHNAPATNAM PORT LIMITED,,INE03BG08120,SHOPSENSE RETAIL TECHNOLOGIES LIMITED
IN8016X01019, ARYAN SHARE & STOCK BROKERS LIMITED,,INE0S0A01018,DAC PROMOTERS PRIVATE LIMITED
INE016X01010, ARYAN SHARE & STOCK BROKERS LIMITED,,INE0SF601019,PROVINCIAL HOUSINGS AND PROPERTY LIMITED
INE05N901012, BANNARI AMMAN FOOD PRODUCTS PRIVATE LIMITED,,INE0SF801015,J.KORIN SPINNING PRIVATE LIMITED
INE05N904016, BANNARI AMMAN FOOD PRODUCTS PRIVATE LIMITED,,INE0SFD01015,ANAMALLAIS MOTORS PRIVATE LIMITED
INE918K07BP7, EDELWEISS FINVEST  LIMITED,,INE0SFQ01017,GEM CORPORATES LIMITED
INE918K07DL2, EDELWEISS FINVEST  LIMITED,,INE148I07RL0,INDIABULLS HOUSING FINANCE LIMITED
INE01VR01017, M K ROY & BROS PROJECTS LIMITED,,INE523L07AE9,NUVAMA WEALTH AND INVESTMENT LIMITED
INE646T07019, NUEVO NEXTRA DEVELOPERS PRIVATE LIMITED,,INF0S7Y22016,A91 EMERGING FUND I LLP
INE646T07027, NUEVO NEXTRA DEVELOPERS PRIVATE LIMITED,,INF0S7Y22040,A91 EMERGING FUND I LLP
INE646T07035, NUEVO NEXTRA DEVELOPERS PRIVATE LIMITED,,INF0S8G22052,A91 EMERGING FUND II LLP
INE646T07043, NUEVO NEXTRA DEVELOPERS PRIVATE LIMITED,,INF0S8G22060,A91 EMERGING FUND II LLP
INE062X01014, RUDRA SOLARFARMS PRIVATE  LIMITED,,INF0SBL22012,AVAANA CAPITAL SUSTAINABILITY TRUST
INE062X08019, RUDRA SOLARFARMS PRIVATE  LIMITED,,IN808LI01013,KRSNAA DIAGNOSTICS LIMITED
INE062X08027, RUDRA SOLARFARMS PRIVATE  LIMITED,,IN80NZF01018,ALPHALOGIC INDUSTRIES LIMITED
INE062X08035, RUDRA SOLARFARMS PRIVATE  LIMITED,,IN8820B01028,MANGALYA SOFT-TECH LIMITED
INE062X08043, RUDRA SOLARFARMS PRIVATE  LIMITED,,INE01EU07337,SAGAR DEPOSITS AND ADVANCES LIMITED
INE02DE01011, THE MALAYALA MANORAMA CO PRIVATE LIMITED,,INE0HSB04043,AARTAS CARE PRIVATE LIMITED
INE868R01016,K' LINE (INDIA) PRIVATE LIMITED,,INE0RTR15018,PROSPERITY ASSET 5 TRUST
INE0FGJ01017,.HARYANA CITY GAS DISTRIBUTION (BHIWADI) LIMITED,,INE0S9A01027,ABC CT RE PARK (01) PRIVATE LIMITED
INE777V01011,10I COMMERCE SERVICES PRIVATE LIMITED,,INE0S9H01014,4S INDIA RURAL DEVELOPMENT FOUNDATION
INE777V03017,10I COMMERCE SERVICES PRIVATE LIMITED,,IN8306N07129,TATA CAPITAL LIMITED
INE777V03025,10I COMMERCE SERVICES PRIVATE LIMITED,,INE06H703191,VELLVETTE LIFESTYLE PRIVATE LIMITED
INE777V03033,10I COMMERCE SERVICES PRIVATE LIMITED,,INE093JB7UT0,ANAND RATHI GLOBAL FINANCE LIMITED
INE777V03041,10I COMMERCE SERVICES PRIVATE LIMITED,,INE0RL703024,DIGITAL EDGE DC (INDIA) PRIVATE LIMITED
INE777V03058,10I COMMERCE SERVICES PRIVATE LIMITED,,INE0RVX07019,PUR ENERGY PRIVATE LIMITED
INE0MZT01012,1888 OLD LAKE LIMITED,,INE0SNT15023,PARTAGER DECEMBER 2023
INE0MZT04016,1888 OLD LAKE LIMITED,,INE0SP915011,2023 PL IVAN
INE0GNQ01016,1908 E-VENTURES PRIVATE LIMITED,,INE192A14408,TATA CONSUMER PRODUCTS LIMITED
INF0HSN22015,1FUNDS TRUST,,INE306N07LV6,TATA CAPITAL LIMITED
INE0NQ101012,1T9 TECHNOLOGY PRIVATE LIMITED,,INE306N07MK7,TATA CAPITAL LIMITED
INE01TG01014,2 X 2 LOGISTICS PRIVATE LIMITED,,INE306N07NA6,TATA CAPITAL LIMITED
INE03WB01015,20 MCC PRIVATE LIMITED,,INE306N08037,TATA CAPITAL LIMITED
INE144J01027,20 MICRONS LIMITED,,INE306N08136,TATA CAPITAL LIMITED
IN8144J01026,20 MICRONS LIMITED,,INE306N08292,TATA CAPITAL LIMITED
INE799W01013,20 MICRONS NANO MINERALS LIMITED,,INE306N08391,TATA CAPITAL LIMITED
INE0O9515013,2022 PL GAMORA,,INE306N08516,TATA CAPITAL LIMITED
INE0MKL15011,2022 SBL NITA,,INE306N14WI6,TATA CAPITAL LIMITED
INE0OQ015013,2023 PL MEGADOOT,,INE374X03019,ATHENA JAIPUR SOLAR POWER PRIVATE LIMITED
INE091F01010,20TH CENTURY ENGINEERING LIMITED,,INE742F07528,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED
IN8253B01014,21st CENTURY MANAGEMENT SERVICES LIMITED,,INE857Q07141,TATA CAPITAL LIMITED
INE253B01015,21st CENTURY MANAGEMENT SERVICES LIMITED,,INE857Q07257,TATA CAPITAL LIMITED
INE04YI01014,360 ONE IFSC LIMITED,,INE857Q07273,TATA CAPITAL LIMITED
INE440P01018,360 ONE INVESTMENT ADVISER AND TRUSTEE SERVICES LIMITED,,INE423A14UL4,ADANI ENTERPRISES LIMITED
IN8466L01011,360 ONE WAM LIMITED,,INE491W14465,CAPFLOAT FINANCIAL SERVICES PRIVATE LIMITED
IN8466L01029,360 ONE WAM LIMITED,,INE583D14337,UGRO CAPITAL LIMITED
IN8466L07018,360 ONE WAM LIMITED,,INE883F07330,AADHAR HOUSING FINANCE LIMITED
INE466L01038,360 ONE WAM LIMITED,,IN80Q1R01013,QUALITEK LABS LIMITED
INE466L07027,360 ONE WAM LIMITED,,INE028E14ND5,KOTAK SECURITIES LTD
INE01G901015,361 DEGREE ENTERTAINMENT & MEDIA PRIVATE LIMITED,,INE0B4P14580,LOANTAP CREDIT PRODUCTS PRIVATE LIMITED
INE054L01016,3D TECHNOPACK PRIVATE LIMITED,,INE0M6308069,KOPPAL-NARENDRA TRANSMISSION LIMITED
INE0E6D01015,3DIMENSION CAPITAL SERVICES LTD,,INE0SJN01016,TAPSTART CAPITAL PRIVATE LIMITED
INE0LMB01010,3E ADVISORS PRIVATE LIMITED,,INE0TFW01013,VIDIP REALTORS PRIVATE LIMITED
INE03CP01017,3EYE VENTURES PRIVATE LIMITED,,INE0TG301014,GFB GREAT FOODS PRIVATE LIMITED
INE03RA01017,3I INFOTECH CONSULTANCY SERVICES LIMITED,,INE110O14BX3,AXIS SECURITIES LIMITED
INE725O01015,3I INFOTECH DIGITAL BPS LIMITED,,INE391V07125,SHREM INFRA INVEST PRIVATE LIMITED
INE748C01038,3I INFOTECH LIMITED,,IN8369Q01016,GANESHA ECOVERSE LIMITED
IN8748C01011,3I INFOTECH LIMITED,,INE0BG307110,SUNGLOW FININVEST PRIVATE LIMITED
IN8748C01029,3I INFOTECH LIMITED,,INE0R4S07028,MEGHA HOLDINGS PRIVATE LIMITED
INE01NK01019,3M ELECTRO AND COMMUNICATION INDIA PRIVATE LIMITED,,INE642Y01029,HINDCON CHEMICALS LIMITED
IN8470A01016,3M INDIA LIMITED,,INE891K14MS3,AXIS FINANCE LIMITED
