,,,,,,,
,,,,,,,
,,,                                                                              Assessment Year 2025-26,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,Sl.No,Schedule Name,Schedule for filing Income tax return,"Description 
(""Click on applicable links to navigate to the respective sheet / schedule."")",Select applicable sheets below by choosing Y/N and Click on Apply,Select sheets to print and click apply
,,1,PART A - GENERAL,"Personal Information, Filing Status & Audit Information","Details of Personal Information, Filing Status & Audit Information",Y,Y
,,2,PART A - GENERAL(2),"Partners/ Members Information, Nature of Business or Profession","Partners/ Members Information, Nature of business or profession, if more than one trade names please specify upto 3 trade names ",Y,Y
,,3,Part A Gen_139(8A),GENERAL INFORMATION _139(8A),ITR U - INDIAN INCOME TAX UPDATED RETURN,Y,Y
,,4,BALANCE_SHEET,PartA-BS,"Balance sheet as on 31st day of March, 2025 or date of dissolution.",Y,Y
,,5,MANUFACTURING ACCOUNT,Part A Manufacturing Account,Manufacturing Account  for the financial year 2024-25,Y,Y
,,6,TRADING ACCOUNT,Part A-Trading Account ,Trading Account  for the financial year 2024-25,Y,Y
,,7,PROFIT_LOSS,PartA-P&L,Profit and Loss Account for the previous year 2024-25,Y,Y
,,8,PART - A OI,PartA-OI,Other Information (optional in a case not liable for audit under section 44AB),Y,Y
,,9,QUANTITATIVE_DETAILS,PartA-QD,Quantitative details (optional in a case not liable for audit under section 44AB),Y,Y
,,10,HOUSE_PROPERTY,Schedule HP,Details of Income from House Property,Y,Y
,,11,BP,Schedule BP,Computation of income from business or profession,Y,Y
,,12,DPM_DOA,"Schedule DPM, Schedule DOA",Depreciation on Plant and Machinery & on other assets,Y,Y
,,13,DEP_DCG,"Schedule DEP, Schedule DCG",Summary of depreciation on assets & Deemed Capital Gains on sale of depreciable assets,Y,Y
,,14,ESR,Schedule ESR,Deduction under section 35 or 35CCC or 35CCD,Y,Y
,,15,CG,Schedule CG,Details of Income from Capital Gains,Y,Y
,,16,Schedule 112A,Schedule 112A,From sale of equity share in a company or unit of equity oriented fund or unit of a business trust on which STT is paid under section 112A,Y,Y
,,17,Schedule 115AD(1)(iii)(p),Schedule 115AD(1)(iii) proviso,For NON-RESIDENTS - From sale of equity share in a company or unit of equity oriented fund or unit of a business trust on which STT is paid under section 112A,Y,Y
,,18,VDA,Schedule VDA,Income from transfer of Virtual Digital Assets,Y,Y
,,19,OS,Schedule OS,Details of Income from Other Sources,Y,Y
,,20,CYLA-BFLA,"Schedule CYLA, Schedule BFLA",Details of Income after Set off of Current years losses &Brought Forward Losses of earlier years,Y,Y
,,21,CFL,Schedule CFL,Details of Losses to be carried forward to future Years,Y,Y
,,22,Unabsorbed Depreciation,Schedule UD,Unabsorbed depreciation and allowance under section 35(4),Y,Y
,,23,Schedule ICDS,Schedule ICDS,Effect of Income Computation Disclosure Standards on profit,Y,Y
,,24,10AA,Schedule 10AA,Deduction under section 10AA,Y,Y
,,25,80G,Schedule 80G,Details of donations entitled for deduction under section 80G,Y,Y
,,26,80GGA,Schedule 80GGA,Details of donations for scientific research or rural development,Y,Y
,,27,80GGC,Schedule 80GGC,Schedule 80GGC Details of contributions made to political parties,Y,Y
,,28,RA,Schedule RA,Details of donations to research associations etc. [deduction under sections 35(1)(ii) or 35(1)(iia) or 35(1)(iii) or 35(2AA)] ,Y,Y
,,29,80,"Schedule 80-IA, Schedule 80-IB, Schedule 80-IC or Schedule 80-IE","Deductions under section 80-IA, 80-IB, 80-IC or 80-IE &  Chapter VI-A",Y,Y
,,30,80IAC,Schedule 80IAC,Deduction in respect of eligible start-up,Y,Y
,,31,80LA,Schedule 80LA,Deduction in respect of offshore banking unit or IFSC,Y,Y
,,32,80P,Schedule 80P,Deductions under section 80P,Y,Y
,,33,VI-A,Schedule VI-A,Deductions under  Chapter VI-A,Y,Y
,,34,AMT,Schedule AMT,Computation of Alternate Minimum  Tax payable under section 115JC ,Y,Y
,,35,AMTC,Schedule AMTC,Computation of tax credit under section 115JD ,Y,Y
,,36,SI,Schedule SI,Income chargeable to Income tax at special rates IB ,Y,Y
,,37,IF,Schedule IF,Information regarding partnership firms in which you are partner ,Y,Y
,,38,EI,Schedule EI,Details of Exempt Income,Y,Y
,,39,Schedule PTI,Schedule PTI,"Pass Through Income details from business trust or investment fund as per section 115UA, 115UB",Y,Y
,,40,Schedule TPSA,Schedule TPSA,Details of Tax on secondary adjustments as per section 92CE(2A),Y,Y
,,41,FSI,Schedule FSI,Details of Income from outside India and tax relief,Y,Y
,,42,TR_FA,"Schedule TR, Schedule FA",Summary of tax relief claimed for taxes paid outside India & Schedule FA Details of foreign assets,Y,Y
,,43,GST,Schedule GST,Information regarding turnover/gross receipt reported for GST,Y,Y
,,44,PARTB - TI - TTI,"PartB-TI, PartB-TTI & Verification",Computation of Total Income & Tax Liability on total income,Y,Y
,,45,Part B ATI,Part B ATI,Details of Part B ATI,Y,Y
,,46,IT,15A,Details of payments of Advance Tax and Self-Assessment Tax,Y,Y
,,47,115TD,Schedule 115TD,Accreted income under section 115TD,Y,Y
,,48,TDS,"15B, 15C",Details of Tax Deducted at Source & Tax Collected at Source,Y,Y
,,49,VERIFICATION,Schedule Verification,Schedule Verification,Y,Y
,,,,,,,
,,"Instructions:
1. Green cells are for data entry
2. Red labels indicate Mandatory fields
3. Do not use CTRL X/CTRL V or Cut/Copy/paste while data entry.",,,,,
