,,,,,,,,
,,,,,,,,
,,,, Assessment Year 2025-26,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,Sl.No,Schedule Name,Schedules for filing Income Tax Return,"Description
Click on applicable links to navigate to the respective sheet / schedule.",Select applicable sheets below by choosing Y/N and Click on Apply,Select sheets to print 
,,,1,PART A - GENERAL,"Personal Information, Filing Status & Audit Information","Details of Personal Information, Filing Status & Audit Information",Y,Y
,,,2,GENERAL2,"Holding Status,  Business Organisation, Key Persons, Shareholders Information, Ownership Information, Nature of Company & its Business","Details of Holding Status,  Business Organisation, Key Persons, Shareholders Information, Ownership Information, Nature of Company & its Business",Y,Y
,,,3,SUBSIDIARY DETAILS,Subsidiary Detail Information,"Subsidiary Detail Information, If  nature of company is Holding or Both",Y,Y
,,,4,NATURE OF BUSINESS,Nature of Business or Profession,"Nature of business or profession, if more than one trade names please specify up to 3 trade names",Y,Y
,,,5,BALANCE SHEET,Part A-BS,"Balance Sheet as on 31st day of March, 2023",Y,Y
,,,6,Part A-BS - Ind AS,Part A-BS -Ind AS,"Balance Sheet as on 31st day of March, 2023",Y,Y
,,,7,Part A-Manufacturing Account,Part A-Manufacturing Account,Manufacturing Account for the financial year 2022-23,Y,Y
,,,8,Part A-Trading Account,Part A-Trading Account,Trading Account  for the financial year 2022-23,Y,Y
,,,9,PROFIT LOSS,Part A-P & L,Profit and Loss Account information for Financial Year 2022-23,Y,Y
,,,10,Part AManufacturingAccountIndas,Part AManufacturingAccountIndas,"Manufacturing Account  for the financial year   2022-23[applicable for a company  whose financial statements are drawn up in compliance to the Indian Accounting Standards specified in Annexure to the companies (Indian Accounting Standards) Rules, 2015]",Y,Y
,,,11,Part A-Trading Account Indas,Part A-Trading Account Indas,"Trading Account  for the financial year 2022-23 [applicable for a company  whose financial statements are drawn up in compliance to the Indian Accounting Standards specified in Annexure to the companies (Indian Accounting Standards) Rules, 2015]",Y,Y
,,,12,Part A-P& L - Ind AS,Part A-P&L - Ind AS,Profit and Loss Account for the financial year 2022-23,Y,Y
,,,13,PART - A OI,Part A-OI,Other Information,Y,Y
,,,14,QUANTITATIVE DETAILS,Part A-QD,Quantitative details,Y,Y
,,,15,PART-A OL,Part A – OL,Receipt and payment account of company under liquidation,Y,Y
,,,16,HOUSE PROPERTY,Schedule HP,Details of Income from House Property,Y,Y
,,,17,VDA,Schedule VDA,Income from transfer of Virtual Digital Assets,,
,,,18,BP,Schedule BP,Computation of income from business or profession,Y,Y
