,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Assessment Year 2025-26,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Sl.No.,Schedule Name,Schedules for Filling Income Tax Returns,"Description
Click on applicable links to navigate to the respective sheet / schedule.",Select Applicable sheets  below by choosing Y/N and click on apply,Select Sheets to print and click on apply,,,,,Enabled,,
,,1,PI,"Personal Information, Other Details","Personal Information, Filing Status, Other Details",Y,Y,,,,,Y,,
,,2,Audit,Audit Details,Audit Information,Y,Y,,,,,Y,,
,,3,Schedule I,Schedule I,Details of amounts accumulated / set apart within the meaning of section 11(2),Y,Y,,,,,Y,,
,,4,Schedule IA,Schedule IA,Details of accumulated income taxed in earlier assessment years as per section 11(3),Y,Y,,,,,,,
,,5,Schedule D,Schedule D,Details of deemed application of income under clause (2) of Explanation 1 to sub-section (1) of section 11.,Y,Y,,,,,,,
,,6,Schedule DA,Schedule DA,Details of accumulated income taxed in earlier assessment years as per section 11 (1B),Y,Y,,,,,,,
,,7,Schedule J,Schedule J,Details Of Investment Of Funds,Y,Y,,,,,Y,,
,,8,BALANCE_SHEET,BALANCE_SHEET,"Balance Sheet as on 31st day of March, 2025 [to be mandatorily filled in by all persons filing ITR-7]",Y,Y,,,,,,,
,,9,Schedule R,Schedule R,Reconciliation of Corpus of Schedule J and Balance sheet,Y,Y,,,,,Y,,
,,10,Schedule LA,Schedule LA,Political Party,Y,Y,,,,,Y,,
,,11,Schedule ET,Schedule ET,Electoral Trust,Y,Y,,,,,Y,,
,,12,Schedule VC,Schedule VC,Voluntary Contributions,Y,Y,,,,,Y,,Y
,,12,Schedule AI,Schedule AI,Aggregate of income referred to in section u/s 11 and 12 derived during the previous year excluding Voluntary contribution forming part of corpus as per section 11(1)(d) and voluntary contributions,Y,Y,,,,Y,,,
,,13,Schedule ER,Schedule ER,Amount applied to charitable or religious purposes in India during the previous year - Revenue Account,Y,Y,,,,Y,,,
,,14,Schedule EC,Schedule EC,Amount applied to charitable or religious purposes in India during the previous year–Capital Account [excluding application from borrowed funds and amount exempt u/s 11(1A)],Y,Y,,,,Y,,,
